Posting Date,Order No.,Work center Number,Department,Item,Time,Quantity,Sales order
3/31/2023,POR-11042902,200,Painting ,Cabinet,20,2.2,SSO-12149005
3/31/2023,POR-11042902,112,Assembly,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042902,103,Machine Carpentry,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11042902,106,Machine Carpentry,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11043571,101,Machine Carpentry,Cabinet,0,2.2,SSO-12149005
3/31/2023,POR-11043558,100,Machine Carpentry,Cabinet,30,2.2,SSO-12149005
4/27/2023,POR-11043558,600,Control & Packing,Cladding ,0,21,SSO-12149005
4/30/2023,POR-11043558,100,Machine Carpentry,Cladding ,0.42,21,SSO-12149005
4/30/2023,POR-11043558,101,Machine Carpentry,Cladding ,0.84,21,SSO-12149005
4/30/2023,POR-11043558,106,Machine Carpentry,Cladding ,10,21,SSO-12149005
4/30/2023,POR-11043557,107,Assembly,Cladding ,75,21,SSO-12149005
4/27/2023,POR-11043557,600,Control & Packing,Sofa,0,33,SSO-12149005
5/4/2023,POR-11043557,100,Machine Carpentry,Sofa,1.5,33,SSO-12149005
5/4/2023,POR-11042922,101,Machine Carpentry,Sofa,0.5,33,SSO-12149005
5/4/2023,POR-11043380,106,Machine Carpentry,Sofa,3,33,SSO-12149005
5/4/2023,POR-11043468,107,Assembly,Sofa,70,33,SSO-12149005
4/27/2023,POR-11039890,600,Control & Packing,Sofa,0,28,SSO-12149005
5/4/2023,POR-11039768,100,Machine Carpentry,Sofa,0.5,28,SSO-12149005
5/4/2023,POR-11042820,101,Machine Carpentry,Sofa,0.5,28,SSO-12149005
5/4/2023,POR-11042923,106,Machine Carpentry,Sofa,2,28,SSO-12149005
5/4/2023,POR-11043324,107,Assembly,Sofa,50,28,SSO-12149005
3/31/2023,POR-11039092,205,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11039092,202,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11039092,203,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11043039,202,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11037643,203,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11037643,202,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11037643,201,Painting ,Mirror,0,16,SSO-12149005
3/31/2023,POR-11042633,200,Painting ,Mirror,20,16,SSO-12149005
3/31/2023,POR-11042633,112,Assembly,Mirror,0,16,SSO-12149005
3/31/2023,POR-11042633,103,Machine Carpentry,Mirror,0,16,SSO-12149005
3/31/2023,POR-11042633,106,Machine Carpentry,Mirror,0,16,SSO-12149005
3/31/2023,POR-11042633,101,Machine Carpentry,Mirror,0,16,SSO-12149005
3/31/2023,POR-11042633,100,Machine Carpentry,Mirror,20,16,SSO-12149005
4/27/2023,POR-11043439,600,Control & Packing,Mirror,0,16,SSO-12149005
3/31/2023,POR-11043439,205,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043439,202,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043410,203,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043410,202,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043410,203,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043410,202,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043295,201,Painting ,Planter,0,10,SSO-12149005
3/31/2023,POR-11043295,200,Painting ,Planter,30,10,SSO-12149005
3/31/2023,POR-11043295,112,Assembly,Planter,0,10,SSO-12149005
3/31/2023,POR-11043294,103,Machine Carpentry,Planter,0,10,SSO-12149005
3/31/2023,POR-11043294,106,Machine Carpentry,Planter,0,10,SSO-12149005
3/31/2023,POR-11043294,101,Machine Carpentry,Planter,0,10,SSO-12149005
3/31/2023,POR-11043294,100,Machine Carpentry,Planter,20,10,SSO-12149005
4/27/2023,POR-11043294,600,Control & Packing,Planter,0,10,SSO-12149005
5/4/2023,POR-11043294,100,Machine Carpentry,Planter,2.5,10,SSO-12149005
5/4/2023,POR-11043390,101,Machine Carpentry,Planter,1.5,10,SSO-12149005
5/4/2023,POR-11043390,106,Machine Carpentry,Planter,10,10,SSO-12149005
5/4/2023,POR-11043573,107,Assembly,Planter,150,10,SSO-12149005
3/31/2023,POR-11043573,205,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043571,202,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043571,203,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043571,202,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043298,203,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043298,202,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043298,201,Painting ,Panal,0,7,SSO-12149005
3/31/2023,POR-11043298,200,Painting ,Panal,50,7,SSO-12149005
3/31/2023,POR-11043572,112,Assembly,Panal,0,7,SSO-12149005
